small-config-pod
Request Count	Failure Count	Median Response Time	Average Response Time	Min Response Time	Max Response Time	Average Content Size	Requests/s	Failures/s	%50	%66	%75	%80	%90	%95	%98	%99	99.9%	99.99%	%100
baseline: 226	1	190.0	560.3893611768342	160.93758399802027	4696.419874999265	230208.04424778762	1.9127728007215836	0.00846359646336984	190	200	560	840	2100	2200	2400	2600	4700	4700	4700
low load: 459	0	180.0	515.004766252719	158.90070899968123	3084.6650419998696	468711.18082788674	3.8500153074854966	0.0	180	390	870	1000	1300	1600	1900	2100	3100	3100	3100
medium load: 4978	0	290.0	1020.2459205648826	156.87549999984185	10532.854124999176	411280.8571715548	16.638836339982515	0.0	290	870	1400	1700	2700	4000	6300	7300	9000	11000	11000
high load: 7383	2	3000.0	5831.360794052022	158.70566699959454	50114.725624999664	389768.1879994582	24.694150001358768	0.006689462278574771	3000	6300	9200	11000	16000	20000	24000	26000	31000	50000	50000
spike test: 7288	31	1200.0	6268.727927916897	158.30395800003316	60164.68291699857	278285.91671240394	24.36381583026716	0.10363313539219017	1200	5300	11000	13000	20000	25000	30000	32000	59000	60000	60000
endurance test: 15397	0	240.0	853.7578514185367	157.04091700172285	19293.357082999137	368149.205234786	17.109849417062605	0.0	240	570	1100	1300	2200	3600	4800	6000	11000	19000	19000

medium-config-pod
Request Count	Failure Count	Median Response Time	Average Response Time	Min Response Time	Max Response Time	Average Content Size	Requests/s	Failures/s	%50	%66	%75	%80	%90	%95	%98	%99	99.9%	99.99%	%100
baseline: 226	1	190.0	560.3893611768342	160.93758399802027	4696.419874999265	230208.04424778762	1.9127728007215836	0.00846359646336984	190	200	560	840	2100	2200	2400	2600	4700	4700	4700
low load: 456	0	180.0	506.7160151008746	158.2817079997767	2583.9956250001705	447093.4342105263	3.8181406187758915	0.0	180	270	850	1000	1400	1800	2000	2200	2600	2600	2600
medium load: 5064	0	330.0	920.2648093295793	155.6590830005007	8805.51637500048	491900.1536334913	16.888800719905248	0.0	330	780	1400	1600	2400	3300	4800	5700	8500	8800	8800
high load: 8235	1	2200.0	4645.920640818692	157.08845799963456	28099.686292000115	443201.6954462659	27.458011606837378	0.0033343062060518978	2200	5400	7800	9100	13000	16000	19000	21000	25000	28000	28000
spike test: 7288	31	1200.0	6268.727927916897	158.30395800003316	60164.68291699857	278285.91671240394	24.36381583026716	0.10363313539219017	1200	5300	11000	13000	20000	25000	30000	32000	59000	60000	60000
endurance test: 15397	0	240.0	853.7578514185367	157.04091700172285	19293.357082999137	368149.205234786	17.109849417062605	0.0	240	570	1100	1300	2200	3600	4800	6000	11000	19000	19000

large-config-pod
Request Count	Failure Count	Median Response Time	Average Response Time	Min Response Time	Max Response Time	Average Content Size	Requests/s	Failures/s	%50	%66	%75	%80	%90	%95	%98	%99	99.9%	99.99%	%100
baseline: 226	1	190.0	560.3893611768342	160.93758399802027	4696.419874999265	230208.04424778762	1.9127728007215836	0.00846359646336984	190	200	560	840	2100	2200	2400	2600	4700	4700	4700
low load: 434	0	190.0	652.9166458548378	159.01912500066828	3125.911166000151	624537.6589861751	3.6584941333028764	0.0	190	470	1100	1200	1800	2100	2700	2900	3100	3100	3100
medium load: 4553	0	520.0	1384.5822066780174	157.39183300047443	12254.685957999754	520633.9714473973	15.19571027457752	0.0	520	1300	1900	2300	3700	5200	7600	9200	12000	12000	12000
high load: 6512	16	6500.0	7499.622562697175	159.03341699959128	25385.910999999396	483302.85764742014	21.72951772062824	0.05338947842906201	6500	9800	12000	14000	16000	19000	21000	22000	25000	25000	25000
spike test: 7288	31	1200.0	6268.727927916897	158.30395800003316	60164.68291699857	278285.91671240394	24.36381583026716	0.10363313539219017	1200	5300	11000	13000	20000	25000	30000	32000	59000	60000	60000
endurance test: 15397	0	240.0	853.7578514185367	157.04091700172285	19293.357082999137	368149.205234786	17.109849417062605	0.0	240	570	1100	1300	2200	3600	4800	6000	11000	19000	19000
